,Country,Confirmed cases,Deaths,Cured
0,China,80793,3169,62816
1,Italy,12462,827,1045
2,Iran,9000,354,2959
3,South Korea,7869,66,333
4,France,2284,48,12
5,Spain,2277,55,183
6,Germany,1966,3,25
7,Japan,1337,23,475
8,United States,1322,38,15
9,Switzerland,652,4,4
10,Norway,629,0,1
11,Denmark,514,0,1
12,Netherlands,503,5,0
13,Sweden,500,1,1
14,United Kingdom,460,8,18
15,Belgium,314,3,1
16,Qatar,263,0,0
17,Austria,246,0,4
18,Bahrain,195,0,35
19,Singapore,178,0,96
20,Malaysia,149,0,26
21,Australia,129,3,25
22,Hong Kong,129,3,67
23,Canada,118,1,9
24,Greece,99,1,0
25,Israel,97,0,4
26,Czechia,94,0,0
27,Iceland,90,0,1
28,United Arab Emirates,74,0,17
29,Kuwait,72,0,2
30,Iraq,71,8,15
31,Thailand,70,1,34
32,San Marino,69,3,0
33,India,68,0,4
34,Lebanon,68,2,1
35,Egypt,67,1,8
36,Finland,65,0,1
37,Portugal,59,0,0
38,Slovenia,57,0,0
39,Brazil,52,0,0
40,Philippines,49,2,2
41,Taiwan,48,1,17
42,Romania,47,0,7
43,Saudi Arabia,45,0,1
44,Ireland,43,1,0
45,Vietnam,39,0,16
46,Indonesia,34,1,0
47,Poland,31,0,0
48,Palestine,30,0,0
49,Russia,28,0,3
50,Georgia,24,0,0
51,Chile,23,0,0
52,Costa Rica,22,0,0
53,Argentina,21,1,0
54,Pakistan,20,0,1
55,Algeria,20,0,0
56,Croatia,19,0,0
57,Serbia,18,0,0
58,Oman,18,0,9
59,Ecuador,17,0,0
60,Peru,17,0,0
61,Estonia,16,0,0
62,Albania,15,1,0
63,Azerbaijan,13,0,3
64,Hungary,13,0,0
65,South Africa,13,0,1
66,Belarus,12,0,3
67,Mexico,11,0,1
68,Brunei Darussalam,11,0,0
69,Panama,11,1,0
70,Slovakia,10,0,0
71,Macau,10,0,10
72,Latvia,10,0,1
73,North Macedonia,9,0,0
74,Colombia,9,0,0
75,Maldives,8,0,0
76,Tunisia,7,0,0
77,Afghanistan,7,0,0
78,Bulgaria,7,1,0
79,Bosnia and Herzegovina,7,0,0
80,Luxembourg,7,0,0
81,Cyprus,6,0,0
82,Malta,6,0,0
83,Paraguay,5,0,0
84,New Zealand,5,0,0
85,French Guiana,5,1,0
86,Morocco,5,1,0
87,Dominican Republic,5,0,0
88,Senegal,4,0,0
89,Moldova,3,0,0
90,Martinique,3,0,0
91,Cambodia,3,0,1
92,Bangladesh,3,0,0
93,Cuba,3,0,0
94,Lithuania,3,0,0
95,Faroe Islands,2,0,0
96,Sri Lanka,2,0,1
97,Nigeria,2,0,0
98,Burkina Faso,2,0,0
99,Cameroon,2,0,0
100,Saint Martin (French part),2,0,0
101,Bolivia,2,0,0
102,Honduras,2,0,0
103,Mongolia,1,0,0
104,Andorra,1,0,1
105,Holy See,1,0,0
106,Gibraltar,1,0,0
107,Nepal,1,0,1
108,Bhutan,1,0,0
109,Togo,1,0,0
110,Monaco,1,0,0
111,"Congo, Democratic Republic of the",1,0,0
112,Turkey,1,0,0
113,Jamaica,1,0,0
114,Saint Barthélemy,1,0,0
115,Liechtenstein,1,0,0
116,Ukraine,1,0,0
117,Guernsey,1,0,0
118,Jordan,1,0,0
119,Armenia,1,0,0
120,Côte d'Ivoire,1,0,0
121,Réunion,1,0,0
122,French Polynesia,1,0,0
123,"Source: Baidu, with data collated from China's national health committees, provincial governments and health bureaus, official channels from Hong Kong, Macao and Taiwan, and news reports.","Source: Baidu, with data collated from China's national health committees, provincial governments and health bureaus, official channels from Hong Kong, Macao and Taiwan, and news reports.","Source: Baidu, with data collated from China's national health committees, provincial governments and health bureaus, official channels from Hong Kong, Macao and Taiwan, and news reports.","Source: Baidu, with data collated from China's national health committees, provincial governments and health bureaus, official channels from Hong Kong, Macao and Taiwan, and news reports."
